City,Address,Category,BuildingType,NewAlterationAddition,Valuation,PermitHolder,Issuance,County
Cedar Rapids,2212 TRANQUIL CT NW,Residential,Single Family,New,54460,THE VILLAS,28-Mar-16,Linn
Cedar Rapids,2214 TRANQUIL CT NW,Residential,Single Family,New,54460,THE VILLAS,28-Mar-16,Linn
Cedar Rapids,2216 TRANQUIL CT NW,Residential,Single Family,New,54120,THE VILLAS,28-Mar-16,Linn
Cedar Rapids,2218 TRANQUIL CT NW,Residential,Single Family,New,53165,THE VILLAS,28-Mar-16,Linn
Cedar Rapids,"222 3RD AVE SE, Suite: STE 299",Commercial,Commercial,Alteration,131000,ARMSTRONG CENTRE,7-Mar-16,Linn
Cedar Rapids,222 JACOLYN DR SW,Commercial,Commercial,Alteration,72237,,30-Jun-16,Linn
Cedar Rapids,2220 TRANQUIL CT NW,Residential,Single Family,New,52295,THE VILLAS,28-Mar-16,Linn
Cedar Rapids,2222 TRANQUIL CT NW,Residential,Single Family,New,54265,THE VILLAS,28-Mar-16,Linn
Cedar Rapids,2224 5TH AVE SE,Residential,Single Family,Addition,52020,,25-Jan-16,Linn
Cedar Rapids,2227 TRANQUIL CT NW,Residential,Multi Family,New,157716,THE VILLAS,14-Jun-16,Linn
Cedar Rapids,2231 TRANQUIL CT NW,Residential,Multi Family,New,157716,COACH HOMES,14-Jun-16,Linn
Cedar Rapids,224 9TH ST NW,Residential,Single Family,New,66855,SCALLON - 2-STORY 1A,19-Jul-16,Linn
Cedar Rapids,2248 TRANQUIL CT NW,Residential,Single Family,New,98914,,27-Jun-16,Linn
Cedar Rapids,229 COLLINS RD NE,Commercial,Commercial,New,650000,PANDA EXPRESS,25-Apr-16,Linn
Cedar Rapids,229 COLLINS RD NE,Commercial,Commercial,New,60700,PANDA EXPRESS,25-Apr-16,Linn
Cedar Rapids,2360 EDGEWOOD RD SW,Commercial,Commercial,Alteration,112000,GREAT CLIPS,22-Apr-16,Linn
Cedar Rapids,2360 EDGEWOOD RD SW,Commercial,Commercial,Alteration,58000,VN NAILS,25-Jan-16,Linn
Cedar Rapids,"2360 EDGEWOOD RD SW, Suite: STE 100",Commercial,Commercial,New,325000,CHIPOTLE,19-Jan-16,Linn
Cedar Rapids,"2360 EDGEWOOD RD SW, Suite: STE 600",Commercial,Commercial,New,350000,NOODLES & COMPANY (EDGEWOOD RD),19-Jan-16,Linn
Cedar Rapids,2403 PRAIRIE WALK DR NW,Residential,Single Family,New,101152,,20-Apr-16,Linn
Cedar Rapids,2405 EDGEWOOD RD SW,Commercial,Commercial,Addition,318000,CULVER'S RESTAURANT (NEW ADDITION),18-May-16,Linn
Cedar Rapids,2407 HELEN CT SE,Residential,Single Family,New,119562,,25-Apr-16,Linn
Cedar Rapids,2409 PRAIRIE WALK DR NW,Residential,Single Family,New,139704,,15-Apr-16,Linn
Cedar Rapids,2412 PRAIRIE WALK DR NW,Residential,Single Family,New,110802,,15-Jul-16,Linn
Cedar Rapids,2415 ROOSEVELT RD SW,Residential,Single Family,New,132800,,27-May-16,Linn
Cedar Rapids,2418 PRAIRIE WALK DR NW,Residential,Single Family,New,145976,,6-May-16,Linn
Cedar Rapids,2418 PRAIRIE WALK DR NW,Residential,Single Family,New,145976,,15-Jun-16,Linn
Cedar Rapids,2425 WILSON AVE SW,Residential,Single Family,New,84840,,25-May-16,Linn
Cedar Rapids,2460 EDGEWOOD RD SW,Commercial,Commercial,New,900000,EDGEWOOD RETAIL - COMPASS,16-Jun-16,Linn
Cedar Rapids,248 WASATCH CT NE,Residential,Single Family,New,126560,,28-Jan-16,Linn
Cedar Rapids,2488 WESTWIND LANE,Residential,Single Family,Addition,95320,DEMPEWOLF KELLEY,25-Jul-16,Linn
Cedar Rapids,2503 NATURE RIDGE DR NW,Residential,Single Family,New,107549,WOODBURY,28-Apr-16,Linn
Cedar Rapids,2506 NATURE RIDGE DR NW,Residential,Single Family,New,117336,FAIRMONT,11-Feb-16,Linn
Cedar Rapids,2508 PRAIRIE WALK DR NW,Residential,Single Family,New,131998,LEGACY 26,20-Jun-16,Linn
Cedar Rapids,252 BLAIRS FERRY RD NE,Commercial,Commercial,Alteration,522027,,5-Jul-16,Linn
Cedar Rapids,254 OUTLOOK DR SW,Commercial,Commercial,Alteration,126000,GRANT ELEMENTARY - BATHROOM REMODEL,1-Jun-16,Linn
Cedar Rapids,2630 B AVE NE,Commercial,Commercial,Alteration,123500,,23-Jun-16,Linn
Cedar Rapids,2702 HANDLEY CT SW,Residential,Single Family,New,122758,,31-Mar-16,Linn
Cedar Rapids,2715 12TH ST SW,Commercial,Commercial,Alteration,52000,TURNER ALLEY BREWING,10-Feb-16,Linn
Cedar Rapids,2725 EDGEWOOD PKWY SW,Commercial,Commercial,New,930000,IGYM  ,26-May-16,Linn
Cedar Rapids,2725 EDGEWOOD PKWY SW,Commercial,Commercial,New,60000,IGYM - FOUNDATION ONLY,18-May-16,Linn
Cedar Rapids,2727 16TH AVE SW,Commercial,Commercial,Alteration,2300000,MIDAMERICAN AEROSPACE,31-Mar-16,Linn
Cedar Rapids,2727 16TH AVE SW,Commercial,Commercial,Alteration,350000,MIDAMERICAN AEROSPACE,30-Mar-16,Linn
Cedar Rapids,2740 1ST AVE NE,Commercial,Commercial,Alteration,55000,,8-Apr-16,Linn
Cedar Rapids,2773 EAST ROBINS RD NE,Commercial,Commercial,Addition,105000,,19-May-16,Linn
Cedar Rapids,2773 EAST ROBINS RD NE,Commercial,Commercial,Addition,75000,,19-May-16,Linn
Cedar Rapids,280 BLAIRS FERRY RD NE,Commercial,Commercial,Alteration,1500000,,20-Jul-16,Linn
Cedar Rapids,2815 28TH AVE SW,Residential,Single Family,New,85764,,26-Feb-16,Linn
Cedar Rapids,2900 1ST AVE NE,Commercial,Commercial,Alteration,181500,SCALARO BULIDING,29-Jun-16,Linn
Cedar Rapids,2929 LIPPISCH PL SW,Commercial,Commercial,New,750000,,4-May-16,Linn
Cedar Rapids,3015 WENIG RD NE,Residential,Single Family,New,104750,,19-Apr-16,Linn
Cedar Rapids,"305 2ND AVE SE, Suite: 200",Commercial,Commercial,Alteration,179734,REGUS,6-Jan-16,Linn
Cedar Rapids,3102 CEDAR RIVER CT NE,Residential,Single Family,New,156288,,12-May-16,Linn
Cedar Rapids,311 GREY SLATE DR SW,Residential,Single Family,New,102070,HUNTINGTON,14-Jun-16,Linn
Cedar Rapids,3131 12TH ST SW,Commercial,Commercial,New,50000,TRADE SHOW MARKETING - WAREHOUSE,19-May-16,Linn
Cedar Rapids,"3135 WILEY BLVD SW
Suite: STE 101",Commercial,Commercial,Alteration,54105,,20-Jun-16,Linn
Cedar Rapids,320 6TH ST SW,Residential,Single Family,New,57860,B660,10-Jun-16,Linn
